time	'long'	'short'
 0.000000E+00	0	0
 1.600000E-01	0	4
 3.200000E-01	1	12
 4.800000E-01	0	23
 6.400000E-01	2	37
 8.000000E-01	4	56
 9.600000E-01	5	71
 1.120000E+00	17	90
 1.280000E+00	23	99
 1.440000E+00	21	115
 1.600000E+00	21	129
 1.760000E+00	23	150
 1.920000E+00	30	165
 2.080000E+00	40	189
 2.240000E+00	41	210
 2.400000E+00	46	222
 2.560000E+00	53	240
 2.720000E+00	59	256
 2.880000E+00	70	265
 3.040000E+00	73	284
 3.200000E+00	74	299
 3.360000E+00	86	307
 3.520000E+00	83	315
 3.680000E+00	92	340
 3.840000E+00	95	348
 4.000000E+00	103	369
 4.160000E+00	101	382
 4.320000E+00	95	396
 4.480000E+00	120	411
 4.640000E+00	115	422
 4.800000E+00	112	429
 4.960000E+00	126	446
 5.120000E+00	126	469
 5.280000E+00	125	479
 5.440000E+00	123	492
 5.600000E+00	131	516
 5.760000E+00	149	523
 5.920000E+00	152	543
 6.080000E+00	165	555
 6.240000E+00	181	562
 6.400000E+00	187	579
 6.560000E+00	191	595
 6.720000E+00	207	604
 6.880000E+00	196	627
 7.040000E+00	216	647
 7.200000E+00	215	651
 7.360000E+00	226	666
 7.520000E+00	206	690
 7.680000E+00	228	703
 7.840000E+00	229	706
 8.000000E+00	235	725
 8.160000E+00	261	747
 8.320000E+00	246	758
 8.480000E+00	263	772
 8.640000E+00	275	789
 8.800000E+00	267	808
 8.960000E+00	291	825
 9.120000E+00	307	839
 9.280000E+00	317	850
 9.440000E+00	324	874
 9.600000E+00	304	883
 9.760000E+00	297	886
 9.920000E+00	302	903
 1.008000E+01	323	919
 1.024000E+01	339	920
 1.040000E+01	359	939
 1.056000E+01	357	958
 1.072000E+01	361	966
 1.088000E+01	374	976
 1.104000E+01	372	996
 1.120000E+01	386	1012
 1.136000E+01	400	1032
 1.152000E+01	397	1040
 1.168000E+01	424	1060
 1.184000E+01	413	1074
 1.200000E+01	414	1087
 1.216000E+01	414	1105
 1.232000E+01	425	1124
 1.248000E+01	440	1130
 1.264000E+01	431	1145
 1.280000E+01	433	1150
 1.296000E+01	443	1174
 1.312000E+01	474	1187
 1.328000E+01	502	1201
 1.344000E+01	486	1213
 1.360000E+01	524	1232
 1.376000E+01	510	1248
 1.392000E+01	537	1270
 1.408000E+01	557	1276
 1.424000E+01	543	1279
 1.440000E+01	540	1293
 1.456000E+01	535	1309
 1.472000E+01	537	1321
 1.488000E+01	526	1330
 1.504000E+01	569	1341
 1.520000E+01	591	1345
 1.536000E+01	606	1361
 1.552000E+01	638	1372
 1.568000E+01	652	1387
 1.584000E+01	632	1411
 1.600000E+01	598	1425
 1.616000E+01	617	1422
 1.632000E+01	633	1441
 1.648000E+01	662	1451
 1.664000E+01	687	1469
 1.680000E+01	704	1480
 1.696000E+01	732	1492
 1.712000E+01	743	1502
 1.728000E+01	744	1505
 1.744000E+01	747	1522
 1.760000E+01	778	1530
 1.776000E+01	749	1545
 1.792000E+01	759	1555
 1.808000E+01	771	1562
 1.824000E+01	792	1572
 1.840000E+01	846	1584
 1.856000E+01	803	1575
 1.872000E+01	819	1597
 1.888000E+01	820	1606
 1.904000E+01	834	1608
 1.920000E+01	856	1627
 1.936000E+01	873	1634
 1.952000E+01	886	1643
 1.968000E+01	910	1655
 1.984000E+01	894	1644
 2.000000E+01	922	1653
 2.016000E+01	920	1665
 2.032000E+01	975	1666
 2.048000E+01	961	1692
 2.064000E+01	945	1702
 2.080000E+01	966	1702
 2.096000E+01	994	1697
 2.112000E+01	1012	1721
 2.128000E+01	1049	1714
 2.144000E+01	1034	1725
 2.160000E+01	1007	1743
 2.176000E+01	1078	1756
 2.192000E+01	1106	1757
 2.208000E+01	1112	1761
 2.224000E+01	1117	1765
 2.240000E+01	1107	1766
 2.256000E+01	1154	1776
 2.272000E+01	1133	1807
 2.288000E+01	1128	1801
 2.304000E+01	1164	1812
 2.320000E+01	1251	1817
 2.336000E+01	1247	1833
 2.352000E+01	1224	1828
 2.368000E+01	1263	1830
 2.384000E+01	1291	1840
 2.400000E+01	1303	1840
 2.416000E+01	1290	1854
 2.432000E+01	1285	1843
 2.448000E+01	1281	1850
 2.464000E+01	1321	1848
 2.480000E+01	1340	1843
 2.496000E+01	1360	1840
 2.512000E+01	1390	1837
 2.528000E+01	1390	1857
 2.544000E+01	1397	1844
 2.560000E+01	1428	1843
 2.576000E+01	1394	1843
 2.592000E+01	1398	1838
 2.608000E+01	1425	1836
 2.624000E+01	1446	1855
 2.640000E+01	1433	1836
 2.656000E+01	1432	1823
 2.672000E+01	1455	1832
 2.688000E+01	1459	1823
 2.704000E+01	1477	1820
 2.720000E+01	1510	1813
 2.736000E+01	1506	1786
 2.752000E+01	1511	1784
 2.768000E+01	1580	1780
 2.784000E+01	1579	1762
 2.800000E+01	1587	1754
 2.816000E+01	1588	1745
 2.832000E+01	1585	1736
 2.848000E+01	1595	1725
 2.864000E+01	1610	1698
 2.880000E+01	1626	1670
 2.896000E+01	1667	1659
 2.912000E+01	1683	1652
 2.928000E+01	1706	1640
 2.944000E+01	1714	1606
 2.960000E+01	1711	1600
 2.976000E+01	1724	1561
 2.992000E+01	1712	1529
 3.008000E+01	1731	1502
 3.024000E+01	1759	1504
 3.040000E+01	1757	1447
 3.056000E+01	1772	1484
 3.072000E+01	1762	1443
 3.088000E+01	1781	1402
 3.104000E+01	1801	1376
 3.120000E+01	1766	1371
 3.136000E+01	1759	1364
 3.152000E+01	1823	1335
 3.168000E+01	1821	1308
 3.184000E+01	1812	1328
 3.200000E+01	1847	1287
 3.216000E+01	1852	1279
 3.232000E+01	1842	1250
 3.248000E+01	1862	1248
 3.264000E+01	1870	1224
 3.280000E+01	1892	1195
 3.296000E+01	1908	1184
 3.312000E+01	1891	1191
 3.328000E+01	1890	1173
 3.344000E+01	1896	1131
 3.360000E+01	1928	1113
 3.376000E+01	1948	1110
 3.392000E+01	1951	1081
 3.408000E+01	1982	1060
 3.424000E+01	1944	1060
 3.440000E+01	1926	1040
 3.456000E+01	1923	1031
 3.472000E+01	1939	1000
 3.488000E+01	1951	1008
 3.504000E+01	1994	952
 3.520000E+01	1989	945
 3.536000E+01	1982	956
 3.552000E+01	2045	934
 3.568000E+01	2027	927
 3.584000E+01	2044	910
 3.600000E+01	2048	905
 3.616000E+01	2130	883
 3.632000E+01	2124	879
 3.648000E+01	2123	864
 3.664000E+01	2113	847
 3.680000E+01	2120	802
 3.696000E+01	2136	778
 3.712000E+01	2133	807
 3.728000E+01	2134	807
 3.744000E+01	2174	786
 3.760000E+01	2153	763
 3.776000E+01	2179	795
 3.792000E+01	2152	777
 3.808000E+01	2147	761
 3.824000E+01	2206	760
 3.840000E+01	2215	722
 3.856000E+01	2203	728
 3.872000E+01	2202	722
 3.888000E+01	2287	718
 3.904000E+01	2247	709
 3.920000E+01	2231	702
 3.936000E+01	2264	666
 3.952000E+01	2279	675
 3.968000E+01	2270	661
 3.984000E+01	2262	654
 4.000000E+01	2295	645
 4.016000E+01	2291	622
 4.032000E+01	2291	616
 4.048000E+01	2315	605
 4.064000E+01	2275	591
 4.080000E+01	2292	596
 4.096000E+01	2269	577
 4.112000E+01	2294	583
 4.128000E+01	2322	600
 4.144000E+01	2340	570
 4.160000E+01	2338	579
 4.176000E+01	2365	551
 4.192000E+01	2358	545
 4.208000E+01	2358	547
 4.224000E+01	2342	519
 4.240000E+01	2395	535
 4.256000E+01	2390	552
 4.272000E+01	2384	529
 4.288000E+01	2394	508
 4.304000E+01	2402	503
 4.320000E+01	2389	514
 4.336000E+01	2407	534
 4.352000E+01	2399	500
 4.368000E+01	2433	493
 4.384000E+01	2448	500
 4.400000E+01	2479	489
 4.416000E+01	2466	474
 4.432000E+01	2483	470
 4.448000E+01	2477	486
 4.464000E+01	2475	476
 4.480000E+01	2501	494
 4.496000E+01	2500	460
 4.512000E+01	2526	469
 4.528000E+01	2494	467
 4.544000E+01	2503	461
 4.560000E+01	2557	465
 4.576000E+01	2552	451
 4.592000E+01	2550	437
 4.608000E+01	2549	452
 4.624000E+01	2514	440
 4.640000E+01	2520	434
 4.656000E+01	2515	438
 4.672000E+01	2555	437
 4.688000E+01	2521	450
 4.704000E+01	2605	445
 4.720000E+01	2596	439
 4.736000E+01	2595	418
 4.752000E+01	2600	425
 4.768000E+01	2596	421
 4.784000E+01	2559	410
 4.800000E+01	2564	429
 4.816000E+01	2670	410
 4.832000E+01	2658	396
 4.848000E+01	2675	400
 4.864000E+01	2669	396
 4.880000E+01	2677	407
 4.896000E+01	2641	396
 4.912000E+01	2648	385
 4.928000E+01	2719	395
 4.944000E+01	2657	389
 4.960000E+01	2674	383
 4.976000E+01	2665	375
 4.992000E+01	2721	375
 5.008000E+01	2708	382
 5.024000E+01	2709	384
 5.040000E+01	2691	377
 5.056000E+01	2708	372
 5.072000E+01	2678	369
 5.088000E+01	2702	386
 5.104000E+01	2697	389
 5.120000E+01	2723	383
 5.136000E+01	2716	392
 5.152000E+01	2712	392
 5.168000E+01	2767	390
 5.184000E+01	2765	365
 5.200000E+01	2752	374
 5.216000E+01	2789	357
 5.232000E+01	2849	368
 5.248000E+01	2839	366
 5.264000E+01	2803	363
 5.280000E+01	2787	391
 5.296000E+01	2822	380
 5.312000E+01	2838	389
 5.328000E+01	2822	369
 5.344000E+01	2852	375
 5.360000E+01	2861	383
 5.376000E+01	2879	399
 5.392000E+01	2862	376
 5.408000E+01	2836	383
 5.424000E+01	2834	371
 5.440000E+01	2859	374
 5.456000E+01	2879	370
 5.472000E+01	2901	372
 5.488000E+01	2850	363
 5.504000E+01	2867	383
 5.520000E+01	2873	378
 5.536000E+01	2942	354
 5.552000E+01	2959	349
 5.568000E+01	2917	341
 5.584000E+01	2959	318
 5.600000E+01	2913	319
 5.616000E+01	2917	317
 5.632000E+01	2932	327
 5.648000E+01	2948	326
 5.664000E+01	2956	319
 5.680000E+01	2965	311
 5.696000E+01	2905	326
 5.712000E+01	3012	333
 5.728000E+01	3011	326
 5.744000E+01	3012	327
 5.760000E+01	2998	336
 5.776000E+01	2963	328
 5.792000E+01	3023	319
 5.808000E+01	2998	339
 5.824000E+01	2981	335
 5.840000E+01	2996	329
 5.856000E+01	3015	335
 5.872000E+01	3008	344
 5.888000E+01	2991	343
 5.904000E+01	3014	353
 5.920000E+01	2959	349
 5.936000E+01	3026	364
 5.952000E+01	3028	358
 5.968000E+01	3031	359
 5.984000E+01	3031	356
 6.000000E+01	3045	366
 6.016000E+01	3140	370
 6.032000E+01	3085	363
 6.048000E+01	3091	349
 6.064000E+01	3147	352
 6.080000E+01	3142	336
 6.096000E+01	3086	342
 6.112000E+01	3165	339
 6.128000E+01	3217	348
 6.144000E+01	3168	335
 6.160000E+01	3125	335
 6.176000E+01	3167	331
 6.192000E+01	3165	318
 6.208000E+01	3217	326
 6.224000E+01	3146	337
 6.240000E+01	3145	321
 6.256000E+01	3204	321
 6.272000E+01	3155	316
 6.288000E+01	3216	326
 6.304000E+01	3214	322
 6.320000E+01	3251	326
 6.336000E+01	3169	320
 6.352000E+01	3228	316
 6.368000E+01	3235	331
 6.384000E+01	3216	327
 6.400000E+01	3216	328
 6.416000E+01	3232	347
 6.432000E+01	3244	330
 6.448000E+01	3262	345
 6.464000E+01	3223	329
 6.480000E+01	3290	333
 6.496000E+01	3304	332
 6.512000E+01	3254	310
 6.528000E+01	3269	307
 6.544000E+01	3287	314
 6.560000E+01	3263	313
 6.576000E+01	3233	299
 6.592000E+01	3296	296
 6.608000E+01	3284	284
 6.624000E+01	3269	296
 6.640000E+01	3273	292
 6.656000E+01	3269	290
 6.672000E+01	3299	285
 6.688000E+01	3300	282
 6.704000E+01	3304	286
 6.720000E+01	3302	279
 6.736000E+01	3311	285
 6.752000E+01	3357	290
 6.768000E+01	3366	276
 6.784000E+01	3310	276
 6.800000E+01	3322	272
 6.816000E+01	3359	269
 6.832000E+01	3366	249
 6.848000E+01	3380	256
 6.864000E+01	3372	258
 6.880000E+01	3371	257
 6.896000E+01	3410	261
 6.912000E+01	3372	257
 6.928000E+01	3366	242
 6.944000E+01	3351	248
 6.960000E+01	3369	247
 6.976000E+01	3366	248
 6.992000E+01	3384	241
 7.008000E+01	3409	249
 7.024000E+01	3414	254
 7.040000E+01	3343	276
 7.056000E+01	3418	249
 7.072000E+01	3394	258
 7.088000E+01	3424	262
 7.104000E+01	3482	280
 7.120000E+01	3482	260
 7.136000E+01	3482	261
 7.152000E+01	3475	262
 7.168000E+01	3493	269
 7.184000E+01	3478	260
 7.200000E+01	3462	260
 7.216000E+01	3455	258
 7.232000E+01	3503	258
 7.248000E+01	3506	272
 7.264000E+01	3428	265
 7.280000E+01	3484	263
 7.296000E+01	3539	255
 7.312000E+01	3508	263
 7.328000E+01	3573	277
 7.344000E+01	3557	259
 7.360000E+01	3583	262
 7.376000E+01	3582	261
 7.392000E+01	3598	251
 7.408000E+01	3540	281
 7.424000E+01	3578	259
 7.440000E+01	3494	270
 7.456000E+01	3522	276
 7.472000E+01	3533	278
 7.488000E+01	3549	269
 7.504000E+01	3598	268
 7.520000E+01	3561	259
 7.536000E+01	3634	249
 7.552000E+01	3618	251
 7.568000E+01	3579	244
 7.584000E+01	3618	247
 7.600000E+01	3635	261
 7.616000E+01	3619	249
 7.632000E+01	3624	254
 7.648000E+01	3638	241
 7.664000E+01	3664	242
 7.680000E+01	3622	251
 7.696000E+01	3676	254
 7.712000E+01	3664	265
 7.728000E+01	3651	278
 7.744000E+01	3623	259
 7.760000E+01	3619	257
 7.776000E+01	3644	268
 7.792000E+01	3644	261
 7.808000E+01	3676	269
 7.824000E+01	3652	265
 7.840000E+01	3627	260
 7.856000E+01	3663	265
 7.872000E+01	3714	249
 7.888000E+01	3721	240
 7.904000E+01	3719	247
 7.920000E+01	3749	254
 7.936000E+01	3741	257
 7.952000E+01	3679	270
 7.968000E+01	3743	263
 7.984000E+01	3784	245
 8.000000E+01	3763	246
